Sch #,year,WHITE COUNT,BLACK COUNT,HISPANIC COUNT,ASIAN COUNT,ISLANDER COUNT,AMERICAN INDIAN COUNT,MULTI COUNT,TOTAL COUNT,MALE COUNT,FEMALE COUNT,GRADE 12 COUNT,Attendance-Number of Absences-0,Attendance-Number of Absences-0_1-5,Attendance-Number of Absences-0_6-10,Attendance-Number of Absences_Percent Attendance,Movement-Transfer IN from-New,Movement-Transfer IN from-New_Within,Movement-Transfer IN from-New_Outside,Movement-Transfer IN from-New_Private,Movement-Transfer OUT to-Within,Movement-Transfer OUT to-outside,Movement-Transfer OUT to-Within_Private,Movement-Transfer OUT to-Within_other,Movement-Transfer OUT to-Within_DNE,Mobility Index,Suspensions-Duplicated-Outdoor,Suspensions-Duplicated-_Indoor,Suspensions_Unduplicated-Outdoor,Suspensions_Unduplicated-Indoor,Attendance-Number of Absences-0_Unexcuse 11+,ELL TOTAL,SWD TOTAL,GIFTED TOTAL,FREE & REDUCED TOTAL,Total Federal Graduation Rate,ZIPCODE
7011,2012,80,546,1261,24,0,1,5,1917,900,1017,416,54,472,475,93.61,124,127,122,1,199,111,30,30,36,29,391,1069,268,684,563,233,225,115,1470,85.6,33015
7011,2013,71,555,1322,23,0,1,3,1975,1063,912,448,28,347,436,93.22,122,114,115,4,164,111,39,3,16,26,157,405,125,316,751,261,243,120,1601,88,33015
7011,2014,75,578,1436,27,0,1,1,2118,1145,973,526,55,443,512,93.52,114,118,117,4,149,83,40,6,7,25,155,1368,120,763,1103,311,257,128,1769,87.7,33015
7011,2015,69,592,1448,27,0,0,4,2140,1151,989,505,47,384,439,92.45,125,116,108,0,150,137,7,19,19,26,292,1878,225,879,834,313,243,116,1773,80.8,33015
7011,2016,63,609,1413,25,1,0,4,2115,1139,976,507,78,488,450,93.48,146,87,125,1,147,93,9,31,36,23,0,0,0,0,688,332,257,109,1695,77.7,33015
7011,2017,51,577,1465,22,1,0,5,2121,1134,987,519,48,377,471,92.42,155,136,116,0,129,115,13,56,27,23,0,0,0,0,763,321,242,96,1766,80.5,33015
7011,2018,34,566,1443,24,1,0,6,2074,1079,995,562,52,338,391,91.99,115,94,83,1,120,113,5,25,16,22,0,0,0,0,759,320,230,98,1860,87.2,33015
7011,2019,43,533,1373,14,1,0,14,1978,1025,953,498,51,362,417,92.24,90,89,89,3,103,97,5,41,20,21,0,0,0,0,696,292,237,95,1558,84.6,33015
7011,2020,36,551,1322,14,2,1,24,1950,961,989,491,38,400,369,92.06,88,101,70,1,161,89,10,20,16,22,0,0,0,0,657,270,222,101,1524,92.9,33015
7011,2021,36,523,1119,14,1,0,21,1714,834,880,474,122,453,346,88.09,61,57,46,5,128,63,37,11,1,21,0,0,0,0,720,202,227,88,1420,96.7,33015
7011,2022,33,484,1138,11,0,0,16,1682,842,840,415,98,247,360,88.94,151,102,144,6,111,59,105,7,3,32,0,0,0,0,777,241,235,95,1424,96.2,33015
7011,2023,19,497,1075,9,0,1,10,1611,800,811,391,83,248,323,88.12,254,116,181,6,85,77,152,5,0,30,113,697,88,416,859,289,202,92,1064,98.9,33015
7011,2024,20,497,1067,8,0,1,5,1598,834,764,396,69,231,303,88.28,174,135,128,5,100,70,130,2,0,30,142,129,121,114,915,324,224,62,1033,100,33015
7048,2012,481,339,786,24,1,1,2,1634,819,815,263,51,365,339,92.98,127,55,117,5,55,84,26,22,33,20,272,304,162,209,616,141,110,160,920,90.4,33160
7048,2013,514,363,896,19,1,1,2,1796,900,896,400,40,301,360,92.19,140,81,117,11,103,91,59,25,41,23,122,22,94,21,717,166,119,141,1076,87.7,33160
7048,2014,441,346,875,24,1,1,3,1691,858,833,425,32,299,376,92.38,103,73,63,3,95,73,59,14,32,21,201,1038,130,568,935,184,105,208,1098,87.6,33160
7048,2015,403,311,864,24,0,0,4,1606,849,757,419,29,301,303,92.41,109,64,88,7,70,88,56,35,7,24,156,1108,125,475,523,215,97,74,1062,88.9,33160
7048,2016,407,283,831,21,0,0,7,1549,828,721,356,31,351,382,93.76,116,44,88,5,69,72,30,14,23,19,0,587,0,301,409,159,94,81,981,92.4,33160
7048,2017,392,307,867,24,0,0,8,1598,854,744,357,32,332,379,93.47,146,59,89,7,50,76,30,20,16,20,0,527,0,264,513,183,100,99,1002,91.8,33160
7048,2018,431,294,937,23,0,1,9,1695,871,824,371,31,353,363,92.83,116,73,89,7,62,82,27,26,16,23,0,527,0,275,594,240,107,111,1158,92.1,33160
7048,2019,418,285,973,25,0,2,11,1714,868,846,389,41,414,381,94.02,125,61,94,7,50,68,19,28,60,20,0,358,0,236,504,228,113,128,1050,91.7,33160
7048,2020,425,244,977,28,0,2,13,1689,872,817,427,33,375,347,93.02,94,50,79,11,51,59,19,20,34,16,0,333,0,215,501,209,115,172,1015,95.1,33160
7048,2021,392,213,862,28,0,1,17,1513,801,712,393,93,660,290,92.13,72,37,53,7,74,61,21,14,8,29,0,0,0,0,491,167,107,187,934,95.2,33160
7048,2022,390,258,852,26,0,2,14,1542,793,749,382,83,233,357,89.56,178,40,104,25,66,57,20,8,11,21,0,819,0,321,733,184,129,188,1043,92.2,33160
7048,2023,391,252,893,28,0,1,17,1582,810,772,342,112,238,370,89.41,192,74,119,12,49,77,38,11,6,22,66,48,55,44,724,273,120,163,794,92.6,33160
7048,2024,371,234,905,17,1,0,13,1541,781,760,354,124,204,398,89.69,144,93,108,23,50,84,40,4,10,24,91,182,83,149,706,292,122,147,774,89.6,33160
7049,2012,37,33,1808,3,0,0,0,1881,1000,881,418,98,515,407,94.83,127,92,106,3,116,58,18,115,29,22,98,485,86,319,418,564,125,113,1546,69.3,33012
7049,2013,41,29,1976,2,0,0,1,2049,1004,1045,419,78,561,485,94.08,162,86,136,1,119,46,9,91,11,21,129,390,105,239,499,644,140,116,1797,70.2,33012
7049,2014,39,25,2041,1,0,0,1,2107,1038,1069,490,77,498,569,93.09,135,87,95,2,100,66,10,93,10,19,116,619,96,321,926,678,136,142,1911,66.7,33012
